,id,tweets
70,1052990000000000000.00,"RT @Google: How to strike a pose with Pixel 3: 

📸 Top Shot
🌙 Night Sight
🤳 Group Selfie Cam

Hitting shelves in the US today, here are 10…"
71,1052990000000000000.00,RT @MissingLynxx: Excited! The new @Google Pixel 3 phone from @BestBuy has an amazing camera + unlimited free storage. I love taking all th…
72,1052990000000000000.00,I liked a @YouTube video https://t.co/TE17mpKS9u Behind the Scenes: Capturing Eminem’s “Venom” with Pixel 3
73,1052990000000000000.00,"RT @OSIRISREx: 1, 2, 3, Bennu! Earlier this week, I captured these images of my favorite asteroid growing ever larger -- from about 1 pixel…"
74,1052990000000000000.00,"RT @havingfunsaving: #ad The new @google Pixel 3 phone from @bestbuy camera has ""groupie-cam"" and you'll never get that annoying ""storage f…"
75,1052990000000000000.00,RT @tldtoday: iPhone XS vs Pixel 3 just like the Google Keynote https://t.co/L2f8fJLFYl
76,1052990000000000000.00,"@EricShanLu Apple iPhone X, Fully Unlocked 5․8"", 256 GB - Silver now meets your monitoring criteria.  ✜ https://t.co/DC3qxmLlIq"
77,1052990000000000000.00,I liked a @YouTube video https://t.co/Z0ZB7aN4QG Pixel 3 vs iPhone XS Camera Comparison
78,1052990000000000000.00,"RT @Google: How to strike a pose with Pixel 3: 

📸 Top Shot
🌙 Night Sight
🤳 Group Selfie Cam

Hitting shelves in the US today, here are 10…"
79,1052990000000000000.00,"Google posts Pixel 3 and Pixel 3 XL Android Pie factory images, confirming codenames https://t.co/X6vUadp4CQ by… https://t.co/231El3UPx9"
80,1052990000000000000.00,Google Pixel 3 and Speck bundle international giveaway @androidauth #giveaway https://t.co/OShSsyzuWr
81,1052990000000000000.00,"RT @Google: How to strike a pose with Pixel 3: 

📸 Top Shot
🌙 Night Sight
🤳 Group Selfie Cam

Hitting shelves in the US today, here are 10…"
82,1052990000000000000.00,"RT @9to5Google: Google posts Pixel 3 and Pixel 3 XL Android Pie factory images, confirming codenames https://t.co/X6vUadp4CQ by @technacity…"
83,1052990000000000000.00,"RT @Google: How to strike a pose with Pixel 3: 

📸 Top Shot
🌙 Night Sight
🤳 Group Selfie Cam

Hitting shelves in the US today, here are 10…"
